[12:52:56] [INFO] received Windows console close event; shutting log-core down
[13:01:20] [INFO] received Windows console close event; shutting log-core down
[13:03:59] [INFO] received Windows console close event; shutting log-core down
[13:09:53] [INFO] received Windows console close event; shutting log-core down
[14:41:40] [INFO] received Windows console close event; shutting log-core down
[14:44:53] [INFO] received Windows console close event; shutting log-core down
[14:47:00] [INFO] received Windows console close event; shutting log-core down
[14:50:47] [INFO] received Windows console close event; shutting log-core down
[14:53:14] [INFO] received Windows console close event; shutting log-core down
[14:56:02] [INFO] received Windows console close event; shutting log-core down
[14:59:29] [INFO] received Windows console close event; shutting log-core down
[15:08:28] [INFO] received Windows console close event; shutting log-core down
[15:18:11] [INFO] received Windows console close event; shutting log-core down
[17:43:13] [INFO] received Windows console close event; shutting log-core down
[17:45:20] [INFO] received Windows console close event; shutting log-core down
[19:31:13] [INFO] received Windows console close event; shutting log-core down
[19:33:13] [INFO] received Windows console close event; shutting log-core down
[20:12:19] [INFO] received Windows console close event; shutting log-core down
[20:16:32] [INFO] received Windows console close event; shutting log-core down
[20:17:48] [INFO] received Windows console close event; shutting log-core down
[20:17:53] [INFO] received Windows console close event; shutting log-core down
[20:18:24] [INFO] received Windows console close event; shutting log-core down
[20:18:51] [INFO] received Windows console close event; shutting log-core down
[20:34:50] [INFO] received Windows console close event; shutting log-core down
[20:54:42] [INFO] received Windows console close event; shutting log-core down
[20:55:14] [INFO] received Windows console close event; shutting log-core down
[21:02:49] [INFO] received Windows console close event; shutting log-core down
[21:12:08] [INFO] received Windows console close event; shutting log-core down
[22:18:26] [INFO] received Windows console close event; shutting log-core down
[22:19:31] [INFO] received Windows console close event; shutting log-core down
[22:22:18] [INFO] received Windows console close event; shutting log-core down
[22:27:28] [INFO] received Windows console close event; shutting log-core down
[22:32:46] [INFO] received Windows console close event; shutting log-core down
[22:32:57] [INFO] received Windows console close event; shutting log-core down
[23:39:15] [INFO] received Windows console close event; shutting log-core down
[08:42:21] [INFO] received Windows console close event; shutting log-core down
[08:46:49] [INFO] received Windows console close event; shutting log-core down
[09:32:40] [INFO] received Windows console close event; shutting log-core down
[18:02:17] [INFO] received Windows console close event; shutting log-core down
[18:04:17] [INFO] received Windows console close event; shutting log-core down
[18:08:40] [INFO] received Windows console close event; shutting log-core down
[18:10:44] [INFO] received Windows console close event; shutting log-core down
[18:14:50] [INFO] received Windows console close event; shutting log-core down
[18:17:47] [INFO] received Windows console close event; shutting log-core down
[18:25:25] [INFO] received Windows console close event; shutting log-core down
[18:28:36] [INFO] received Windows console close event; shutting log-core down
[18:31:25] [INFO] received Windows console close event; shutting log-core down
[18:33:28] [INFO] received Windows console close event; shutting log-core down
[18:35:19] [INFO] received Windows console close event; shutting log-core down
